"Id","WeightDays","SleepDays","ActivityDays"
1503960366,6.45161290322581,80.6451612903226,100
1624580081,0,0,100
1644430081,0,12.9032258064516,96.7741935483871
1844505072,0,9.67741935483871,100
1927972279,3.2258064516129,16.1290322580645,100
2022484408,0,0,100
2026352035,0,90.3225806451613,100
2320127002,0,3.2258064516129,100
2347167796,0,48.3870967741936,58.0645161290323
2873212765,6.45161290322581,0,100
3372868164,0,0,64.5161290322581
3977333714,0,90.3225806451613,96.7741935483871
4020332650,0,25.8064516129032,100
4057192912,0,0,12.9032258064516
4319703577,6.45161290322581,83.8709677419355,100
4388161847,0,77.4193548387097,100
4445114986,0,90.3225806451613,100
4558609924,16.1290322580645,16.1290322580645,100
4702921684,0,90.3225806451613,100
5553957443,0,100,100
5577150313,3.2258064516129,83.8709677419355,96.7741935483871
6117666160,0,58.0645161290323,90.3225806451613
6290855005,0,0,93.5483870967742
6775888955,0,9.67741935483871,83.8709677419355
6962181067,96.7741935483871,100,100
7007744171,0,6.45161290322581,83.8709677419355
7086361926,0,77.4193548387097,100
8053475328,0,9.67741935483871,100
8253242879,0,0,61.2903225806452
8378563200,0,103.225806451613,100
8583815059,0,0,100
8792009665,0,48.3870967741936,93.5483870967742
8877689391,77.4193548387097,0,100
